kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Bjørnafjorden,Vestland,nynorsk,4624,https://bjornafjorden.kommune.no/brann-samfunnssikkerheit-og-beredskap/samfunnssikkerheit-og-beredskap/beredskapsplan/,https://bjornafjorden.kommune.no/_f/p1/ifdbeb8d2-1a1e-4fd7-b8da-eef163bb124b/overordna-beredskapsplan-for-bjornafjorden-kommune-adm-del-vs04-rev2312025.pdf
Bjørnafjorden,Vestland,nynorsk,4624,https://bjornafjorden.kommune.no/landbruk-og-naring/landbruk/eigedom/driveplikt/,https://www.statsforvalteren.no/siteassets/fm-vestland/landbruk-og-mat/for-kommunane/brosjyre-driveplikt-delt-opp-i-a5-enkelt-sider.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224471.181.jqisqtiaqlmqmk/L%C3%B8ype+5+Hyttefelt+Indseth%2C+Solseth%2C+Altevatnet.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399838.181.bikaqkmsikstwa/Skatteliste+ubebygd+bolig-+og+fritidseiendom+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399837.181.snijutmtutqspk/Skatteliste+n%C3%A6ringseiendommer+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/landbruksplan.534144.no.html,https://www.bardu.kommune.no/getfile.php/158419.181/Landbruksplan+DEL+2.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/landbruksplan.534144.no.html,https://www.bardu.kommune.no/getfile.php/257075.181.rqftyyseav/Landbruksplan+del+II-revidert+06.pdf%22
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/5224533.181.itikzputzu7nsm/Forskrift+for+rekreasjonsl%C3%B8yper+14.06.23.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://bardu.custompublish.com/getfile.php/4070075.181.kztuqwtqzlslkn/FARTSGRENSER+INNSET+-+ALTEVATNET+-+LEINAVATNET.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399834.181.lzqslppnqkszal/Skatteliste+fritak+og+delvis+fritak+%C2%A7+5+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399841.181.ubszlptmpuzwbt/Skatteliste+fritak+%C2%A7+7+a+og+b+2025.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/landbruksplan.534144.no.html,https://www.bardu.kommune.no/getfile.php/409670.181.faubeqqfsb/Landbruksplan+del+2+revidert+2007.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/landbruksplan.534144.no.html,https://www.bardu.kommune.no/getfile.php/1037234.181.veastsasqr/Landbruksplan+Del+II+Tiltaksplan+revidert+2009.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,"https://img1.custompublish.com/getfile.php/5224471.181.jqisqtiaqlmqmk/L%C3%B8ype+5+Hyttefelt+Indseth,+Solseth,+Altevatnet.pdf?return=www.bardu.kommune.no"
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/skuterdisp.534148.no.html,https://www.bardu.kommune.no/getfile.php/4995710.181.ptwispmuqzjzii/Legeerkl%C3%A6ring_skjema_nytt%2B2013+%282%29.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/eiendomsskatt.534125.no.html,https://www.bardu.kommune.no/getfile.php/5399833.181.mlputsqsnzsqbj/Skatteliste+fritak+%C2%A7+7+c+2025.pdf
